production_type,product_name,FQS,product_FQS,practice,mean,sd,nobs,q0,q5,q25,q50,q75,q95,q100,se,match,practice_subset
crop,Tournesol,AB,Tournesol - AB,A.2.1,58.8293940335484,41.5406349650837,30,4.78740014852714,10.1479276516911,31.0284723578364,42.1413648222875,84.6595144900695,142.389323760648,158.984100434907,7.58424760782139,no_match,crops
crop,Tournesol,AB,Tournesol - AB,A.2.2,2.98316330078642,1.5677798915998,30,0.938579244225947,1.17826924414737,2.01449396975236,2.46579836061267,3.75260291878654,6.22787069180902,6.33522281894926,0.286236137277406,no_match,crops
crop,Tournesol,AB,Tournesol - AB,A.3.1,67.6811201558551,74.6949925189124,30,0,0,14.9008884981564,39.2826119542945,97.4681674022374,201.356891725929,331.003961109111,13.637377445096,no_match,crops
crop,Tournesol,AB,Tournesol - AB,A.3.2,85.9727952174995,38.2469695009776,30,17.6065304745208,32.7069384826401,52.73545097642,87.3453324524053,109.273691242216,143.281847377141,174.725701481108,6.98290931729918,no_match,crops
crop,Tournesol,AB,Tournesol - AB,A.3.3,1.61499312588537,0.424795546941459,30,0.438878714147866,0.965592353584939,1.32342189040605,1.64476155387247,1.9744198290615,2.13577332828938,2.18976808814215,0.077556701129194,no_match,crops
crop,Tournesol,AB,Tournesol - AB,A.4.3,0,0,30,0,0,0,0,0,0,0,0,no_match,crops
crop,Tournesol,AB,Tournesol - AB,A.4.5,74.8109128339334,65.2051229822619,30,4.44073552991154,28.0180738677581,28.0180738677581,29.3445067998227,124.813271847719,180.427876998355,180.427876998355,11.9047722407611,no_match,crops
crop,Tournesol,AB,Tournesol - AB,A.5.1,2.48129172615378,5.64843709185273,30,0,0,0,0.120191781494846,2.34461924843685,14.3836277116651,22.6820281781875,1.03125880328554,no_match,crops
crop,Tournesol,AB,Tournesol - AB,yield,1414.23983179114,706.952713679115,30,63.5197066911091,138.573787737926,1090.81539595488,1484.64596164766,1734.13166895624,2570.45285465784,3141.50943396226,129.071316123847,no_match,crops
crop,Tournesol,AB,Tournesol - AB,A.2.1,58.8293940335484,41.5406349650837,30,4.78740014852714,10.1479276516911,31.0284723578364,42.1413648222875,84.6595144900695,142.389323760648,158.984100434907,7.58424760782139,Tournesol__AB,crops
crop,Tournesol,AB,Tournesol - AB,A.2.2,2.98316330078642,1.5677798915998,30,0.938579244225947,1.17826924414737,2.01449396975236,2.46579836061267,3.75260291878654,6.22787069180902,6.33522281894926,0.286236137277406,Tournesol__AB,crops
crop,Tournesol,AB,Tournesol - AB,A.3.1,67.6811201558551,74.6949925189124,30,0,0,14.9008884981564,39.2826119542945,97.4681674022374,201.356891725929,331.003961109111,13.637377445096,Tournesol__AB,crops
crop,Tournesol,AB,Tournesol - AB,A.3.2,85.9727952174995,38.2469695009776,30,17.6065304745208,32.7069384826401,52.73545097642,87.3453324524053,109.273691242216,143.281847377141,174.725701481108,6.98290931729918,Tournesol__AB,crops
crop,Tournesol,AB,Tournesol - AB,A.3.3,1.61499312588537,0.424795546941459,30,0.438878714147866,0.965592353584939,1.32342189040605,1.64476155387247,1.9744198290615,2.13577332828938,2.18976808814215,0.077556701129194,Tournesol__AB,crops
crop,Tournesol,AB,Tournesol - AB,A.4.3,0,0,30,0,0,0,0,0,0,0,0,Tournesol__AB,crops
crop,Tournesol,AB,Tournesol - AB,A.4.5,74.8109128339334,65.2051229822619,30,4.44073552991154,28.0180738677581,28.0180738677581,29.3445067998227,124.813271847719,180.427876998355,180.427876998355,11.9047722407611,Tournesol__AB,crops
crop,Tournesol,AB,Tournesol - AB,A.5.1,2.48129172615378,5.64843709185273,30,0,0,0,0.120191781494846,2.34461924843685,14.3836277116651,22.6820281781875,1.03125880328554,Tournesol__AB,crops
crop,Tournesol,AB,Tournesol - AB,yield,1414.23983179114,706.952713679115,30,63.5197066911091,138.573787737926,1090.81539595488,1484.64596164766,1734.13166895624,2570.45285465784,3141.50943396226,129.071316123847,Tournesol__AB,crops
crop,Tournesol,AB,Tournesol - AB,BVIAS_ha,0.542387305952828,0.0389937099861384,30,0.486453566148897,0.496051108379651,0.518463506910278,0.530977486602404,0.566147836533999,0.611029484155878,0.626029429664651,0.00711924485340748,no_match,BVIAS
crop,Tournesol,AB,Tournesol - AB,BVIAS_kg,0.000948841111303206,0.00171817933326306,30,0.000184464660393029,0.00022535807027126,0.000302505475324313,0.000380212425125575,0.00046606944544714,0.00427005185224247,0.00817306796772285,0.000313695192889121,no_match,BVIAS
crop,Tournesol,AB,Tournesol - AB,BVIAS_t,0.948841111303206,1.71817933326306,30,0.184464660393029,0.22535807027126,0.302505475324313,0.380212425125575,0.46606944544714,4.27005185224247,8.17306796772285,0.313695192889121,no_match,BVIAS
crop,Tournesol,AB,Tournesol - AB,BVIAS_ha,0.542387305952828,0.0389937099861384,30,0.486453566148897,0.496051108379651,0.518463506910278,0.530977486602404,0.566147836533999,0.611029484155878,0.626029429664651,0.00711924485340748,Tournesol__AB,BVIAS
crop,Tournesol,AB,Tournesol - AB,BVIAS_kg,0.000948841111303206,0.00171817933326306,30,0.000184464660393029,0.00022535807027126,0.000302505475324313,0.000380212425125575,0.00046606944544714,0.00427005185224247,0.00817306796772285,0.000313695192889121,Tournesol__AB,BVIAS
crop,Tournesol,AB,Tournesol - AB,BVIAS_t,0.948841111303206,1.71817933326306,30,0.184464660393029,0.22535807027126,0.302505475324313,0.380212425125575,0.46606944544714,4.27005185224247,8.17306796772285,0.313695192889121,Tournesol__AB,BVIAS
