production_type,product_name,FQS,match,mean,sd,min,max,q25,q50,q75,practice,n_matched,mean_diff_match,pval_pttest,padjust_bonf
crop,Autres_cereales,AB,Autres_cereales__AB,59.3404088069146,52.9177509840168,0.535606153700056,248.179878920329,17.8514737234031,42.9913411119795,83.5884785979686,A.2.1,41,-7.90517182582435,0.425012176521395,1
crop,Autres_cereales,Conventionnel,Autres_cereales__AB,59.6144789449267,56.3584181486454,2.51551657408069,306.245354540647,21.9612728598385,40.7498815209678,80.9099278439711,A.2.1,103,-7.90517182582435,0.425012176521395,1
crop,Ble_tendre,AB,Ble_tendre__AB,54.9155212839164,50.6705855060824,0.535606153700056,196.431520822442,16.5110511312901,36.1541733798882,79.5625265696295,A.2.1,93,8.81373870633828,0.0864605075556348,1
crop,Ble_tendre,Conventionnel,Ble_tendre__AB,46.1017825775782,44.4170312680591,0,234.785742879766,14.8147699814787,31.9122477635274,62.868207606206,A.2.1,279,8.81373870633828,0.0864605075556348,1
crop,Ble_tendre,Conventionnel,Ble_tendre__LR,49.7316662147054,44.1235299104589,0.0890691930525091,306.245354540647,15.5323165580096,37.7549099909753,72.8368698324975,A.2.1,300,-3.56589309189273,0.317668718759553,1
crop,Ble_tendre,LR,Ble_tendre__LR,46.1657731228127,43.5753926948,0.203174757468721,152.570215268713,13.0096625306737,30.4717287531991,67.8626734022674,A.2.1,100,-3.56589309189273,0.317668718759553,1
crop,Mais_fourrage,AB,Mais_fourrage__AB,88.9113394451443,58.6209836256552,3.58632664660631,293.258801665661,45.9445830702714,84.430002809202,121.790396643524,A.2.1,44,11.2514513712764,0.194473969231882,1
crop,Mais_fourrage,Conventionnel,Mais_fourrage__AB,77.6598880738679,49.7750770657138,0.883908329333634,204.878187485995,34.0654311691231,77.8564772767764,115.412419205121,A.2.1,132,11.2514513712764,0.194473969231882,1
crop,Mais_grain,AB,Mais_grain__AB,56.8495910537342,53.9103678428872,0,237.2752881835,15.646777534899,39.9162958568234,78.5093416280739,A.2.1,37,5.68818068599712,0.470748144895519,1
crop,Mais_grain,Conventionnel,Mais_grain__AB,51.1614103677371,45.1909666927639,1.70786378677634,247.680884865483,15.840836483079,38.5483591872003,74.0803259879269,A.2.1,111,5.68818068599712,0.470748144895519,1
crop,Melange_cereales_d_ete,AB,Melange_cereales_d_ete__AB,76.7644960401358,56.3462891799376,0,237.2752881835,31.7912737515761,65.5220817599894,121.401360359365,A.2.1,48,-8.18736856002317,0.358933353470084,1
crop,Melange_cereales_d_ete,Conventionnel,Melange_cereales_d_ete__AB,87.2126228545347,59.5745598854371,6.08896413555535,231.74869555329,37.1674065988458,76.1433761868139,129.236924633972,A.2.1,90,-8.18736856002317,0.358933353470084,1
