production_type,product_name,FQS,n,BVI_ha,BVI_kg,statistique,A.3.1_max,A.4.5_max,A.4.5_min_max,A.4.5_org_max,A.5.1_max,yield,cow_pMFA,feed_autonomy,grassland_share_pseudofarm,ha_temp_pasture_pha_pseudofarm,kg_DM_panim_maize_produced,MFA_pcow,MFA_pha_pseudofarm,nb_cow_pha,share_concent,share_soybean,yield_l_panim,yield_l_pha,feed_A.3.1_max,feed_A.4.5_max,feed_A.4.5_min_max,feed_A.4.5_org_max,feed_A.5.1_max,feed_yield
milk,AB,AB,59,0.0935407521318799,6.03975574320913e-05,mean,NA,NA,NA,NA,NA,NA,0.945918386977249,0.755302650892321,0.278414300690325,0.297326932429485,1462.22543871533,1.20253215590077,0.605662401615675,0.554224005295922,0.233980521419953,0.0344640677297455,4783.0297758319,2533.59538822372,87.9091231058394,297.5331326534,28.6974248103845,302.605093996965,84.8089440601526,5105.53531797153
milk,AB,AB,59,0.0185323965843486,6.40279936225272e-05,sd,NA,NA,NA,NA,NA,NA,0.378674751588875,0.175684283356568,0.23224648284031,0.2741507711608,716.525774899815,0.424690595369497,0.202712669299131,0.246144088408898,0.179466139805233,0.0296834955182128,1501.91995855167,1169.32291194292,93.0445731944148,220.934110616191,83.2168097709658,230.586313455668,217.880185016608,3122.8156619845
milk,AB,AB,59,0.0568412013132092,1.23983165638332e-05,q0,NA,NA,NA,NA,NA,NA,0.373112892833614,0.259766550580432,0,0.00744866755607764,491.973916917118,0.383179155401869,0.106850810859957,0.16134928408981,0,0,1876,302.691256952484,0,0,0,0,0,384.615384615385
milk,AB,AB,59,0.0825899842577806,3.27019590473891e-05,q25,NA,NA,NA,NA,NA,NA,0.678744890162798,0.643799904287476,0.0947219773484166,0.0721499236377124,886.161019020942,0.867349763116311,0.48108587472593,0.320209211969778,0.10008895783284,0.0108995526813622,3891.73996752131,1761.52789257888,37.7451826636679,141.777327481303,0,141.777327481303,0,2450
milk,AB,AB,59,0.0941748350656324,4.38006235710574e-05,q50,NA,NA,NA,NA,NA,NA,0.857709288703573,0.798647942449875,0.251630112683888,0.198503926305394,1224.14773296686,1.16589619952875,0.618023514094041,0.530946870012407,0.219838304224067,0.0278429445866926,4757.73913043478,2209.93886315919,54.4735508509441,188.213078230061,0,188.213078230061,1.16919186045105,4494.35295345174
milk,AB,AB,59,0.104395619735475,6.80872328990906e-05,q75,NA,NA,NA,NA,NA,NA,1.15295592019028,0.884875830809227,0.393060331882329,0.481937367824584,1866.03281760397,1.47342586911235,0.750154740987773,0.753003336082419,0.313674911088581,0.0481936798505727,5398.76989348371,3182.69657142873,84.6259731792909,421.466390471991,0,427.704173070267,5.03680850851167,6445.69697753633
milk,AB,AB,59,0.150875339138111,0.00047633400968696,q100,NA,NA,NA,NA,NA,NA,2.60974530034449,1,0.858733819000708,1,3117.82837851039,2.68015396735685,1,0.990753297301779,0.750492821825612,0.126430510991131,9381.76197836167,5947.36046239017,321.739932119543,776.682003923228,269.550811611826,813.39360039298,655.422286225402,14441.0414090995
milk,AB,AB,59,0.150875339138111,0.00047633400968696,max,NA,NA,NA,NA,NA,NA,2.60974530034449,1,0.858733819000708,1,3117.82837851039,2.68015396735685,1,0.990753297301779,0.750492821825612,0.126430510991131,9381.76197836167,5947.36046239017,321.739932119543,776.682003923228,269.550811611826,813.39360039298,655.422286225402,14441.0414090995
crop,Autres cereales,AB,40,0.111579058270123,6.99296627161486e-05,mean,47.2679116533837,238.758248055567,0,239.355648389144,2.75694179816897,2764.68313155791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
crop,Autres cereales,AB,40,0.0394816186783799,9.10748202232788e-05,sd,47.7436759194315,165.88340029736,0,167.838871125214,8.87958865950504,1427.21590275568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
crop,Autres cereales,AB,40,0.0575436606272772,2.08602155785583e-05,q0,0,44.8944915582142,0,44.8944915582142,0,249.074074074074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
crop,Autres cereales,AB,40,0.0856564218551803,2.82952084668502e-05,q25,16.9686923352008,144.553051173948,0,144.553051173948,0,2065.20287788437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
crop,Autres cereales,AB,40,0.103247183031226,3.58354609781711e-05,q50,29.2643509568682,217.366515306367,0,217.366515306367,0,2692.02898550725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
crop,Autres cereales,AB,40,0.137309145982604,5.87028741497002e-05,q75,56.550008854289,309.805215224997,0,309.805215224997,0.455458503584558,3561.11842105263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
crop,Autres cereales,AB,40,0.224358442409452,0.00041566997092287,q100,216.984643179765,759.640919231174,0,783.536932574232,52.3093075643589,6058.55855855856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
