OTEFDD,FQS,IDENT,crop_area_ha,grassland_area_ha,nb_dairy_cow,wheat_yield_kg_ha,milk_yield_kg_cow
1500,AB,23,117.464347826087,9.85695652173913,NA,3626.15785873716,NA
4500,AB,70,58.5177142857143,55.9141666666667,64.3365714285714,3748.10786930855,4812.51234649552
4700,AB,7,50.3571428571429,109.111428571429,53.79,2188.91519225223,4464.58439400749
6184,AB,34,65.0993333333333,40.588064516129,42.75,2928.30261405019,3524.28403395004
1500,Conventionnel,729,131.436872427984,13.994853372434,8.63,6795.88346511067,4587.61790519273
4500,Conventionnel,464,72.0486177105832,46.078029925187,75.0996120689655,6625.30694826809,7047.39966114688
4700,Conventionnel,130,74.5413846153846,87.3219327731092,57.2749230769231,6499.92926562916,6428.4209498959
6184,Conventionnel,481,101.035803757829,40.3138248847926,64.5115789473684,6984.97181412355,7613.62507008848
1500,SIQO,112,159.777767857143,22.2689908256881,32.8716666666667,6295.49030894701,6005.21674864406
4500,SIQO,305,57.5332894736842,66.9005460750853,72.3567868852459,6128.15825980213,6731.37739696363
4700,SIQO,84,71.5838095238095,93.8369879518072,64.3905952380952,5931.66853601952,6409.94645642755
6184,SIQO,237,104.979957446809,47.8969369369369,62.6065517241379,6062.12148305371,7111.98609297005
