,EPK_ferti_crop_name,BIO,Norg_int,n,N_org,Norg_sd_w,Norg_se_w,Norg_CI95,Norg_thrhld_min,Norg_thrhld_max
1,Betterave_sucriere,0,FALSE,372,53.8659312256471,87.2758783256834,6.57776959568918,12.8924284075508,40.9735028180963,66.7583596331978
2,Ble_dur,0,FALSE,573,2.84481670702787,20.7990209068175,1.28811893461609,2.52471311184754,0.320103595180332,5.36952981887541
3,Ble_dur,0,TRUE,3,75.9634290192008,23.6546394506345,25.9779833159074,50.9168472991785,25.0465817200223,126.880276318379
4,Ble_dur,1,FALSE,15,37.7712471739815,54.2133848167928,24.0512665664935,47.1404824703273,0,84.9117296443088
5,Ble_tendre,0,FALSE,1001,9.64463468453265,36.7567604312946,1.81866742801974,3.5645881589187,6.08004652561395,13.2092228434513
6,Ble_tendre,0,TRUE,33,85.6803155989726,56.0527124599807,15.7792189847224,30.927269210056,54.7530463889166,116.607584809029
7,Ble_tendre,1,FALSE,54,48.6083467177122,64.8543207216328,15.2200631241461,29.8313237233264,18.7770229943858,78.4396704410386
8,Ble_tendre,1,TRUE,3,165.500570337636,77.3278926533246,63.1406806378055,123.755734050099,41.7448362875372,289.256304387735
9,Canne_a_sucre,0,FALSE,321,11.057763585923,70.035862512047,6.12619063021414,12.0073336352197,0,23.0650972211427
10,Canne_a_sucre,0,TRUE,5,231.740728063629,292.437500600924,244.395271704702,479.014732541216,0,710.755460604845
11,Colza,0,FALSE,934,41.5660808908995,79.6801516753617,4.12715068838636,8.08921534923727,33.4768655416623,49.6552962401368
12,Colza,0,TRUE,24,90.6953946589027,43.4282251121782,13.8657815779675,27.1769318928163,63.5184627660864,117.872326551719
13,Colza,1,FALSE,18,108.982699918579,117.237353482561,39.8008821599515,78.009729033505,30.972970885074,186.992428952084
14,Feverole,0,FALSE,553,5.92327289192099,31.4402230281747,2.30943696853339,4.52649645832545,1.39677643359554,10.4497693502464
15,Feverole,0,TRUE,10,106.409051673835,39.6529432942025,16.9441111458814,33.2104578459276,73.198593827907,139.619509519762
16,Feverole,1,FALSE,72,4.01372502615546,20.275478871456,3.88168067011409,7.60809411342362,0,11.6218191395791
17,Lin_Oleagineux,0,FALSE,283,8.97333336774752,32.6457174600994,2.84083072131815,5.56802821378358,3.40530515396394,14.5413615815311
18,Lin_Oleagineux,0,TRUE,6,127.157630622698,81.8121768976186,60.5310237865338,118.640806621606,8.51682400109193,245.798437244304
19,Lin_Oleagineux,1,FALSE,22,35.3351936938977,52.1804423810564,14.9536420424977,29.3091384032955,6.02605529060215,64.6443320971932
20,Lin_fibre,0,FALSE,127,4.81766949941731,22.8261417025402,2.8811377809706,5.64703005070237,0,10.4646995501197
21,Mais_fourrage,0,FALSE,823,151.418461063295,119.288103000312,8.24375146671891,16.1577528747691,135.260708188526,167.576213938064
22,Mais_fourrage,0,TRUE,256,147.210401272452,91.0508271586056,14.5162698799527,28.4518889647073,118.758512307745,175.66229023716
23,Mais_fourrage,1,FALSE,22,72.4113448657203,57.1358724869068,24.7746964330503,48.5584050087785,23.8529398569417,120.969749874499
24,Mais_fourrage,1,TRUE,17,169.565056947868,40.2995170372001,12.7484509704797,24.9869639021402,144.578093045727,194.552020850008
25,Mais_grain,0,FALSE,1738,58.4488963218888,95.1101817866964,3.87131677605996,7.58778088107752,50.8611154408113,66.0366772029663
26,Mais_grain,0,TRUE,36,219.107528345739,214.639371920632,50.2504747938935,98.4909305960313,120.616597749708,317.59845894177
27,Mais_grain,1,FALSE,57,126.542810101692,82.234247107936,26.1292756723167,51.2133803177408,75.3294297839516,177.756190419433
28,Melange_avec_proteagineux,0,FALSE,267,32.4481552788545,60.3095698951384,6.85477453866027,13.4353580957741,19.0127971830804,45.8835133746287
29,Melange_avec_proteagineux,0,TRUE,49,101.778934849251,40.4171325685091,9.30600073976803,18.2397614499453,83.5391733993056,120.018696299196
30,Melange_avec_proteagineux,1,FALSE,163,29.2699964745701,50.3179235552873,6.0736591321224,11.9043718989599,17.3656245756102,41.17436837353
31,Melange_avec_proteagineux,1,TRUE,16,114.168029417472,50.3880937666083,21.7744049468096,42.6778336957468,71.4901957217249,156.845863113218
32,Melange_de_cereales,0,FALSE,220,45.7120434536029,63.8090540569394,6.90796056861163,13.5396027144788,32.1724407391241,59.2516461680817
33,Melange_de_cereales,0,TRUE,68,119.408253303583,46.8372460534172,10.4161216769325,20.4155984867876,98.9926548167949,139.82385179037
34,Melange_de_cereales,1,FALSE,41,11.8930890006431,34.676815739287,12.559892377017,24.6173890589534,0,36.5104780595965
35,Melange_de_cereales,1,TRUE,19,100.738577531856,34.8921323985451,11.3897167723556,22.323844873817,78.4147326580391,123.062422405673
36,Melange_fourrager,0,FALSE,451,43.5495884928182,64.9489430220979,5.163974153332,10.1213893405307,33.4281991522875,53.6709778333489
37,Melange_fourrager,0,TRUE,112,112.088462756116,57.0563760143569,8.40920581713771,16.4820434015899,95.6064193545265,128.570506157706
38,Melange_fourrager,1,FALSE,95,41.4858347114688,59.2639859738107,8.8045351638617,17.2568889211689,24.2289457902999,58.7427236326377
39,Melange_fourrager,1,TRUE,23,94.8547877013065,54.2002098980983,17.5320023618761,34.3627246292771,60.4920630720295,129.217512330584
40,Orge,0,FALSE,1004,13.2060433596451,43.5443187364594,2.16310425947742,4.23968434857574,8.96635901106932,17.4457277082208
41,Orge,0,TRUE,51,107.814925995945,54.4310609606362,11.4155062045661,22.3743921609496,85.4405338349956,130.189318156895
