production_type,product_name,FQS,product_FQS,practice,mean,sd,nobs,q0,q5,q25,q50,q75,q95,q100,se,match,practice_subset
crop,Abricot,Conventionnel,Abricot - Conventionnel,A.2.1,40.9360038415073,48.8432620606106,47,0.186269024832753,5.19010223370999,17.5448396884424,30.4910438738052,41.1658510887746,164.624234512304,228.080787441978,7.1245220052004,no_match,crops
crop,Abricot,Conventionnel,Abricot - Conventionnel,A.2.2,2.01104083913915,2.50737916438737,47,0.288188359839003,0.365599475775995,0.729355315947273,1.38178948194218,2.17819469380761,6.92721248632408,14.4272208264775,0.365738840495362,no_match,crops
crop,Abricot,Conventionnel,Abricot - Conventionnel,A.3.1,83.4146560240104,82.8610378105276,47,0,0,29.7782956676756,68.9273285568066,112.054356219425,245.069031205781,377.943212067436,12.0865245757393,no_match,crops
crop,Abricot,Conventionnel,Abricot - Conventionnel,A.3.2,20.6816405080006,19.2553774082257,47,0.0188479349092745,0.154149347226655,5.77168035852307,16.1631565988069,28.9733961234988,59.0938739436709,82.5301367481629,2.8086854619396,no_match,crops
crop,Abricot,Conventionnel,Abricot - Conventionnel,A.3.3,3.16098825990572,1.25019197659866,47,1.04954379512071,1.49143249450863,2.36381675288256,2.94059265227469,3.75979161207478,5.64715593308275,6.35124761365322,0.182359242037299,no_match,crops
crop,Abricot,Conventionnel,Abricot - Conventionnel,A.4.3,0,0,47,0,0,0,0,0,0,0,0,no_match,crops
crop,Abricot,Conventionnel,Abricot - Conventionnel,A.4.5,0,0,47,0,0,0,0,0,0,0,0,no_match,crops
crop,Abricot,Conventionnel,Abricot - Conventionnel,A.5.1,479.102503607544,257.813496335373,47,79.994050074036,165.021271041685,311.884579609167,386.297399966893,571.872929413826,940.086202119147,1219.29760929667,37.6059634510017,no_match,crops
crop,Abricot,Conventionnel,Abricot - Conventionnel,crop_nb_LU,6.14893617021277,2.62080906363113,47,2,3,4,6,7,10.7,14,0.38228429178416,no_match,crops
crop,Abricot,Conventionnel,Abricot - Conventionnel,yield,5009.35920908472,3989.87652811282,47,134,634.764705882353,1867.61927443042,4551.72413793103,6309.1637482755,11219.360782148,20810.546875,581.983305850826,no_match,crops
crop,Autres_cereales,AB,Autres_cereales - AB,A.2.1,66.0885681269645,65.0488572277464,46,0.535606153700056,1.61366260318842,18.1782629645094,48.5010582068924,94.5923783835925,188.422561422438,293.258801665661,9.59093075529954,no_match,crops
crop,Autres_cereales,AB,Autres_cereales - AB,A.2.2,2.608985340769,1.35528709985332,46,0.389202733366313,1.17063928763589,1.75205241841981,2.29935054037835,3.06775193858171,4.4149500757951,7.79781818004927,0.199826181153871,no_match,crops
crop,Autres_cereales,AB,Autres_cereales - AB,A.3.1,49.1737476905721,45.7910705616957,46,0,0.312154696132598,18.6220449984218,36.4894305119077,59.7930280443809,134.5149657173,219.454876937101,6.75152501804334,no_match,crops
crop,Autres_cereales,AB,Autres_cereales - AB,A.3.2,52.135665668759,30.215488794441,46,10.4509171786041,16.4833566650489,28.639991219422,43.6977042698095,80.3632421567668,99.5723796269498,133.135300510549,4.45503077402875,no_match,crops
crop,Autres_cereales,AB,Autres_cereales - AB,A.3.3,3.65740977570539,1.80630749778759,46,1.27251199837911,1.43625765914188,2.10256431368732,3.44036955427075,4.5641585076209,6.42672612145216,7.98590697025026,0.26632551089106,no_match,crops
crop,Autres_cereales,AB,Autres_cereales - AB,A.4.3,0,0,46,0,0,0,0,0,0,0,0,no_match,crops
crop,Autres_cereales,AB,Autres_cereales - AB,A.4.5,146.246954921289,48.9994681265473,46,44.8944915582142,44.8944915582142,154.398592364053,173.560290208705,173.560290208705,173.560290208705,173.560290208705,7.22457743112767,no_match,crops
crop,Autres_cereales,AB,Autres_cereales - AB,A.5.1,2.39734069405998,8.31957887329219,46,0,0,0,0,0.2092451461707,12.7242692599928,52.3093075643589,1.22665498346316,no_match,crops
crop,Autres_cereales,AB,Autres_cereales - AB,crop_nb_LU,5.93478260869565,2.95448565866318,46,2,2.25,4,5,7.75,11,13,0.435615144944888,no_match,crops
crop,Autres_cereales,AB,Autres_cereales - AB,yield,2799.29334155627,1369.1885119128,46,249.074074074074,468.371212121212,2095.82466805311,2692.02898550725,3643.35526315789,5250.63078963278,6058.55855855856,201.875832541235,no_match,crops
crop,Autres_cereales,Conventionnel,Autres_cereales - Conventionnel,A.2.1,56.8922298894959,53.4905342356442,182,1.09484826234073,5.17791836918567,21.9683835525365,38.8019980484675,75.175850022558,156.191711121681,306.245354540647,3.96498219500085,no_match,crops
crop,Autres_cereales,Conventionnel,Autres_cereales - Conventionnel,A.2.2,2.99631428566407,1.75166880995869,182,0.548385205950521,0.89188440413599,1.67136140772782,2.61202103940065,3.93858766102248,6.33259101244143,10.990797966938,0.129842330839844,no_match,crops
crop,Autres_cereales,Conventionnel,Autres_cereales - Conventionnel,A.3.1,48.3866565949714,51.8434985809685,182,0,0,9.4531283479809,33.1123510502255,70.777573326489,168.495724871881,243.448390819336,3.84289578964637,no_match,crops
crop,Autres_cereales,Conventionnel,Autres_cereales - Conventionnel,A.3.2,69.7320922044675,36.1768014425263,182,7.92687232365489,20.2514054726243,41.8823356295054,67.2365603387406,91.4905363165873,136.385185054234,224.848666563387,2.6816029348257,no_match,crops
crop,Autres_cereales,Conventionnel,Autres_cereales - Conventionnel,A.3.3,3.76643646235066,1.52746056946711,182,1.18719274798071,1.50418874232416,2.60436650734123,3.61762241197219,4.91929494212771,6.31928092309842,9.11041860752593,0.113222910334427,no_match,crops
