"metric_number"," ","Mean","SD","Min","P25","Median","P75","Max"
"A.4.3","value","0.22","0.18","0.00","0.07","0.20","0.31","1.00"
"","x_max","0.21","0.16","0.00","0.07","0.20","0.31","0.56"
"","x_norm","0.38","0.29","0.00","0.13","0.36","0.55","1.00"
"A.4.5","value","106.26","192.04","3.52","83.04","102.12","118.43","8773.87"
"","x_max","97.95","29.12","3.52","83.04","102.12","118.43","142.72"
"","x_norm","0.69","0.20","0.02","0.58","0.72","0.83","1.00"
